,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,Date,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
1,Pernambuco,322975.0,400464.0,336729.0,352431.0,345650.0,372739.0,574321.0,341005.0,372580.0,362258.0,265876.0,283805.0,334551.0,319768.0,410550.0,516590.0,783865.0,780075.0,868780.0,934797.0,815217.0,1108213.0,1195849.0,1317599.0,834606.0,941117.0,1046329.0,1416831.0,1961395.0,1995432.0,1466346.0,1578870.0,2112290.0,2488251.0,416038.0
2,Paraíba,66157.0,52551.0,56076.0,59083.0,69969.0,83646.0,86066.0,103393.0,86940.0,54083.0,62683.0,77576.0,105144.0,117623.0,168248.0,213892.0,227721.0,208590.0,235353.0,226859.0,156589.0,216910.0,224608.0,243087.0,187635.0,179080.0,141364.0,121467.0,140722.0,115553.0,126301.0,125272.0,146643.0,148938.0,49667.0
3,Alagoas,152533.0,291399.0,272268.0,243461.0,237810.0,240949.0,468142.0,289194.0,340729.0,291754.0,224946.0,224353.0,304408.0,298644.0,360909.0,457656.0,583777.0,692543.0,663662.0,876554.0,823949.0,970595.0,1371187.0,1014102.0,741918.0,629145.0,672249.0,420860.0,665015.0,502094.0,319090.0,418185.0,444680.0,588292.0,198111.0
4,Rio Grande do Norte,70672.0,88799.0,80189.0,72936.0,81288.0,86728.0,79227.0,94875.0,93535.0,101748.0,115474.0,149361.0,187456.0,223353.0,310147.0,573259.0,413106.0,371476.0,379709.0,347114.0,256937.0,284127.0,280704.0,260863.0,247616.0,250794.0,318005.0,284577.0,304331.0,277138.0,394852.0,340721.0,514856.0,736672.0,110722.0
5,Sergipe,28006.0,38203.0,26434.0,45331.0,25671.0,33955.0,22459.0,55947.0,39628.0,31210.0,21957.0,29730.0,20771.0,37564.0,38813.0,47640.0,66424.0,78940.0,144256.0,111608.0,60665.0,78188.0,137081.0,149048.0,84570.0,77807.0,95641.0,113375.0,90888.0,73990.0,50561.0,39271.0,92253.0,118257.0,20684.0
6,Rio de Janeiro,1507192.0,1454547.0,1759078.0,1892607.0,2110349.0,2304825.0,2057597.0,1884317.0,1734295.0,1782305.0,1640848.0,1835333.0,2384431.0,3615989.0,4779718.0,5833854.0,8126396.0,11428529.0,13690042.0,17845645.0,13162811.0,19438186.0,27715729.0,27469820.0,19044666.0,19890579.0,14235426.0,12958896.0,19663093.0,27952596.0,27624211.0,22629715.0,33293630.0,45513895.0,4722868.0
7,Espírito Santo,1697903.0,1414728.0,1694221.0,1657509.0,1748115.0,2301552.0,2748707.0,2454258.0,2547245.0,2408536.0,2447099.0,2771757.0,2378381.0,2536303.0,3445094.0,4053202.0,5590897.0,6700426.0,6830138.0,9958533.0,5986931.0,11378880.0,14819164.0,11680760.0,10435902.0,11759001.0,9266443.0,5811761.0,7637733.0,8569660.0,7105385.0,4962900.0,9780360.0,9128590.0,1066051.0
8,São Paulo,12040638.0,11355501.0,11170444.0,13240341.0,13391098.0,14735988.0,15967690.0,16575293.0,18094715.0,18226059.0,17542548.0,19768583.0,20535879.0,20032801.0,22965163.0,30976612.0,37953851.0,45862603.0,51384040.0,57206353.0,41856995.0,51627746.0,59277118.0,58639331.0,55422884.0,50900847.0,45210163.0,46024595.0,50522140.0,52514174.0,48645701.0,42525810.0,54064207.0,69630557.0,9354262.0
9,Minas Gerais,4711659.0,4600079.0,4843072.0,5165349.0,5004245.0,5693377.0,5860661.0,5790383.0,7227918.0,7590668.0,6382003.0,6704678.0,6051671.0,6338319.0,7430674.0,9986536.0,13490539.0,15634154.0,18327224.0,24382639.0,19475691.0,31165493.0,41338019.0,33100044.0,33380974.0,29297504.0,21983505.0,21917348.0,25345614.0,24273835.0,25138589.0,26319146.0,38340189.0,40194081.0,5117102.0
