region,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Rondônia,6727.10396896892,155563.620383871,698670.549766081,7012856.981762,170922.477745277,1523.77970707428,2959.44771615466,3639.34758528551,4198.00684890172,4611.19067045963,5023.34444091427,5624.96410778128,6082.84149911362,7467.62988859535,9425.01048358647,11004.6414356008,12511.8211798875,13054.7133453948,14438.3765013632,17285.5417261047,19725.0095035035,23907.8868830194,27574.714377165,30112.7203164395,31121.412531943,34030.9819729985,36563.3326999081,39460.3589779741,43516.147490021,44913.9784863634,47091.3358042359,51598.7414531864
Acre,1625.93458006953,43990.0810090214,222222.553387939,2552187.12631361,55290.4904474747,548.356634998701,995.065438504014,1147.58372848777,1313.6350535412,1453.5052605516,1557.19510138838,1702.62088218805,1920.76949998526,2971.30127804056,3377.23425010167,3784.00257414234,4300.581271739,4661.80695107055,5458.172175203,6410.25467692723,7407.82140527741,8342.35552309467,8949.43375782239,10137.9247062629,11473.9301648124,13458.6976297702,13622.8017988884,13754.2399785115,14272.940593128,15331.1225897357,15630.0169417634,16476.3708379147
Amazonas,22329.700870091,577625.171387939,2792300.25358759,27880238.8090526,733816.174725864,5878.45553272651,10993.5930330404,14090.3431952021,14410.6586427918,15106.9834644513,15554.7775239486,18872.8850226902,20736.0369982461,22093.3380082487,25862.1340909635,31090.6957992847,33980.8765288228,39933.2126295006,43479.7730873322,48115.2646436639,50559.8396777615,60877.1226805348,70734.4012226685,72242.7006774502,83051.2329572298,86668.6437700854,86568.1842342629,89039.781990685,93240.1909202675,100109.235067731,108181.091000381,116019.139386581
Roraima,1329.45840851626,35613.9510633269,155506.040684513,1500897.56219215,26376.533065355,238.458986008555,469.439994208387,546.826478680415,621.369036444219,746.384288653124,817.19229296233,1116.58064069409,1218.98416126776,2392.03267035995,2594.08087221916,2822.75697766899,3193.43041799194,3802.45211002164,4203.30212593383,4841.8624242854,5671.97457974642,6639.1504766448,7303.71926687849,7711.46711506962,9010.72527781037,9744.12230846919,10242.9051355106,11013.2372122671,12104.7091465384,13369.9877233977,14292.2271323551,16024.2756957996
Pará,26112.1940765634,653550.900043591,3376522.8405693,31147356.7858532,914883.975034464,8285.51791200237,12081.1372075593,13855.4694502849,14716.5417561439,15571.9941683058,16673.9146202486,18913.6843003484,21747.9972401495,26482.1588691882,30270.1518671754,37272.7258914544,40522.8934810397,45983.0268081653,51846.8763205713,60956.9782268349,61665.0955674068,82684.5177957766,98710.735866615,107080.880921464,121224.846598794,124584.945024194,130899.505115443,138107.51425238,155232.403799919,161349.602047077,178376.983519694,215935.603793778
Amapá,2270.09975314731,51126.3534505533,266504.980669002,3096127.97161761,63382.2080577492,624.582581975472,1235.37672368395,1339.77544999137,1526.34076531236,1501.14645131593,1584.00103462985,1968.36545133265,2253.04117365556,3173.34267721108,3413.19515206762,3824.73976194812,4306.41013168541,5280.82194155269,6012.52285100665,6950.41307648309,7490.65555461738,8237.79534962581,9409.22804181935,11130.8678026136,12763.4862184953,13400.2835910919,13861.2932738847,14342.1350817356,15481.9083249107,16795.2066667397,17496.6610732658,18469.1145045286
Tocantins,1848.41224510096,50220.9626836978,301168.197079833,2941181.7033865,68543.8852649427,662.907764398864,1225.93583060599,1533.58434247529,1720.25914119996,1941.47853854944,2106.17091360834,2450.49787233592,3066.502072893,5322.56291030309,6612.33905216588,7251.57997473109,7707.33968879347,8655.61331755355,10192.8439919501,12116.3932874651,13689.8044096958,16404.816090205,18345.6877282335,20684.4299336607,23796.6564172553,26189.3226440848,28930.290797443,31584.816194582,34108.1319869526,35666.1830749177,39355.9412178039,43649.8032178948
Maranhão,9818.08538078122,253419.710299495,1348784.80204007,14208814.884399,302072.846574347,2861.41619392245,5063.11985104299,6872.68251225554,7410.42328538267,7223.68676591461,7918.38447619023,9206.84479494519,10293.1034480822,15924.002509507,19502.9000883504,22127.1318122184,25104.209286925,29710.6430315282,30730.8657708517,37932.4021693304,40994.5706444745,46309.6331073995,52143.5353277744,60490.1085096778,67694.8445415049,76842.0276457606,78475.9938419116,85310.0381365412,89542.7573024924,98179.4956520104,97339.9380157672,106915.961557739
Piauí,4723.23902787467,142252.571458227,755463.072139773,7272265.89580405,173885.164959541,1614.58347983138,3179.60095573164,3901.58259396354,4224.89139492398,4412.52276058063,4733.80893524431,5329.53636303932,5574.64837360332,7122.6346221667,8414.90052349163,9406.46075669738,10711.8344960155,13360.4784845275,13736.0845523396,16203.3398517881,18946.4493294034,22269.1491310258,25941.3623948912,28637.684703841,31283.5930120137,37723.4966380267,39149.6857456745,41416.9367335289,45365.541024029,50378.4175498967,52780.7846818874,56391.2570613347
Ceará,19458.2695749976,514305.058790532,3035444.44961375,32315186.0755326,706729.267985545,6583.9747344306,12494.8610357836,15641.1221928952,17589.0922593603,18835.7645550162,19510.9065332198,20799.5480095187,21581.1411381483,28718.8403556987,32687.41827355,36890.8162005282,41059.4592173313,46500.3207419881,50818.7490211097,60415.5736737268,67199.9580471097,79336.2992810538,89695.8284186918,96973.7528922115,109036.556365041,126054.471619602,130629.848525338,138422.520659731,147921.533983227,155903.824754523,163575.327185607,166914.535656727
