region,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Rondônia,1926,1947,2567,3130,3050,1172,5297,5405,1243,8678,10019,12730,5493,15589,16954,21145,10533,21469,23514
Acre,209,299,341,439,480,695,907,935,978,1045,1245,1529,1637,1919,2231,2231,2170,2063,2262
Amazonas,29198,38416,47850,53484,58985,55328,64023,59282,12752,80804,79881,96682,12964,95783,89306,101378,115877,128842,136950
Roraima,284,341,390,405,379,430,532,589,613,650,677,669,681,811,869,996,440,1359,3074
Pará,12494,16138,9005,7578,26571,29510,27081,30858,46172,23883,30492,57978,51554,63228,39755,81456,97317,109744,148319
Amapá,305,438,520,534,567,668,926,935,1293,1549,1493,1168,815,1944,2443,2577,2881,2607,3315
Tocantins,1264,1886,2251,2020,2428,2888,3114,3197,4384,5529,6048,6486,7658,9289,9422,9368,9617,7595,13404
Maranhão,4602,8448,6517,7536,2776,9948,9878,8582,10111,12462,14053,18773,20622,8883,24172,19263,31882,22418,26019
Piauí,1716,2044,2530,2791,923,3552,4878,4895,5467,5397,6142,5981,7297,7394,5976,9038,12448,12280,15607
Ceará,12255,15152,18181,18837,18730,21745,6363,27292,30335,32424,29303,11601,45500,44704,15819,53420,58254,63709,67876
Rio Grande do Norte,7926,9212,11261,6273,12229,13289,14996,12996,16675,18722,21180,22058,25126,23428,24026,20083,23044,25667,13253
Paraíba,4333,5308,5786,6185,6931,7680,8818,9018,10293,9884,12905,14156,15558,12645,16335,16616,18166,13581,19428
Pernambuco,12711,17285,19115,2188,23150,25448,30678,32798,35825,38024,45073,52357,58276,76247,86387,96852,24161,116286,26700
Alagoas,5128,6124,7013,7291,7385,8385,8824,7920,8919,11137,10317,10474,10681,12030,10955,12647,9649,13559,15522
Sergipe ,4790,5891,6728,7264,7857,7085,11077,10557,11817,12821,10730,4831,15336,15114,13515,5413,7761,15779,19712
Bahia,53921,53207,72374,18161,91799,95911,105354,95895,27269,120357,133940,148376,149759,163950,147742,156485,200075,46528,210663
Minas Gerais,89849,29130,145541,157322,157270,49410,58119,34995,72779,284965,90500,325526,334667,328215,323122,351578,404658,128897,497973
Espírito Santo,18688,24834,23180,29832,33265,38223,46236,34670,54657,35097,46124,76318,88925,13579,66059,10640,4962,89681,57359
Rio de Janeiro,97575,113276,87767,166934,96581,186057,232246,205890,246402,284255,316678,332301,370274,337008,196088,238044,426257,463066,454069
São Paulo,375649,74139,558157,611974,614510,717803,803476,772878,863283,949706,997982,1088705,1125743,1135600,1130937,1187728,1327035,1355055,1448751
Paraná,72620,17391,110731,109841,123682,140679,166096,157634,172489,200546,223488,44277,262106,265067,269428,288238,325820,348206,373644
Santa catarina,42158,52884,68276,72239,76046,85419,92612,92693,105615,118636,129669,24845,159710,159250,161285,172398,193417,212655,246639
Rio Grande do Sul ,76180,103798,123134,128448,126178,142512,176750,163893,181919,203773,217144,239984,264132,262142,261639,267798,306952,324525,345728
Mato Grosso do Sul,6557,10753,3680,13547,13454,15139,15143,19686,23644,28073,32514,37758,41975,45383,47630,51859,57504,53949,62336
Mato Grosso,8293,11123,3488,19132,18881,23631,29594,34803,35905,34213,41958,44796,50210,12461,58924,60239,72576,16644,98748
Goiás,20650,24327,31372,34871,38307,46779,12160,57758,63300,71490,81704,81987,98679,108604,110873,114418,117694,119377,155970
Distrito Federal,2512,4514,5143,5693,5796,5863,6571,2883,7749,8019,9218,6405,10971,11771,4929,11391,12584,12555,6661
Brasil,885936,1226673,1464715,1607367,1714912,1886928,2198060,2066696,2390757,2668965,2884561,3157588,3351308,3360631,3334432,3553207,4084106,3937507,4666148
