region,year,population,industry_production,export,price_indexes,unemployment,grp,investments,fixed_assets
Belgorod region ,2000,1507.0,41426.0,536.4,122.75999999999999,6.1,42074.5,9242.0,154391
Belgorod region ,2001,1508.1,50941.0,719.4,113.44,6.4,49941.8,14030.6083,173840
Belgorod region ,2002,1511.9,61603.0,507.8,115.8,8.1,62404.4,10829.770685736075,214329
Belgorod region ,2003,1513.9,80588.0,713.6,129.64000000000001,8.3,76054.5,15336.318920723315,247369
Belgorod region ,2004,1511.7,120778.0,981.4,133.72000000000003,6.2,114409.3,22684.500572375233,264218
Belgorod region ,2005,1511.7,156830.0,1418.1,104.74,5.9,144987.8,35022.0,295272
Belgorod region ,2006,1514.2,194784.0,1609.0,118.96,5.6,178846.1,52073.28612396306,332176
Belgorod region ,2007,1520.1,264865.0,2320.4,114.39999999999999,4.3,237013.3,83509.5114072878,425857.0
Belgorod region ,2008,1526.3,350134.0,3770.1,113.6,3.9,317656.3,104218.0,507024.0
Belgorod region ,2009,1531.8,295771.0,1761.9,98.82,4.7,304345.3,73127.0,586006.0
Belgorod region ,2010,1532.4,415765.0,2704.2,120.46000000000001,5.2,398361.4,96313.0,671563.0
Belgorod region ,2011,1536.1,504377.0,3840.0,106.58,4.3,507839.8,125994.0,797428.0
Belgorod region ,2012,1541.0,528979.0,3632.8,103.62,3.7,545517.2,136820.0,921456.0
Belgorod region ,2013,1544.1,529352.0,3414.7,102.0,4.0,569006.4,129405.0,1035534.0
Belgorod region ,2014,1547.9,581828,3176.1,111.22,4,619677.7,120658,1152400
Belgorod region ,2015,1550.1,672848,2426.1000000000004,110.5,4.1,693379.4,147214,1289717
Belgorod region ,2016,1552.9,721036.0,2185.7,103.32,4.0,778027.8,143791.756,1400837
Belgorod region ,2017,1549.9,783326.0,2790.0085904,100.53999999999999,3.9,837306.8,142692.754,1501847
Belgorod region ,2018,1547.4,895433.0,3339.5,109.68,3.9,911597.9,134551.337,1564553
Belgorod region ,2019,1549.2,939037.0,3264.8999999999996,96.92,3.9,955329.2,167093.027,2858983
Belgorod region ,2020,1541.3,1001401.0,3144.1000000000004,117.50000000000001,4.9,999081.6,169508.059,2928570
Belgorod region ,2021,1531.9,1434608.0,5052.5,115.03999999999999,4.2,1016084.63380952,165671.672,3061945
Bryansk region ,2000,1407.9,14509.0,80.7,125.67999999999999,13.4,24650.5,2808.0,123603
Bryansk region ,2001,1391.4,18660.0,116.89999999999999,116.22,9.8,30110.3,3467.0550000000003,136129
Bryansk region ,2002,1375.0,22018.0,164.7,117.38000000000001,8.6,37374.1,4737.799822069062,158390
Bryansk region ,2003,1360.2,28180.0,99.69999999999999,114.03999999999999,7.4,43700.3,6527.522937198611,191104
Bryansk region ,2004,1344.1,35200.0,444.40000000000003,113.13999999999999,8.9,51003.4,6751.448524192978,203623
Bryansk region ,2005,1327.7,44938.0,260.4,109.32,6.8,66692.3,8496.0,218523
Bryansk region ,2006,1312.7,55083.0,162.7,110.16,6.8,82100.4,12461.73906875525,234250
Bryansk region ,2007,1303.3,68090.0,683.0,116.98,6.4,102706.2,21010.247249457556,311385.0
Bryansk region ,2008,1294.3,82119.0,329.2,117.28,6.5,125834.4,25298.0,327029.0
Bryansk region ,2009,1286.5,68560.0,100.3,105.38,10.7,126477.4,26858.0,350832.0
Bryansk region ,2010,1275.3,87070.0,181.7,111.44,8.0,147024.0,41989.0,384939.0
Bryansk region ,2011,1264.4,106362.0,191.60000000000002,106.82,7.1,174211.8,48014.0,431052.0
Bryansk region ,2012,1253.6,124566.0,439.2,104.44,5.1,207397.5,46551.0,468273.0
Bryansk region ,2013,1242.6,128959.0,360.3,106.9,5.2,219502.8,60864.0,518609.0
Bryansk region ,2014,1233.0,140734,362.7,107.06,5,242722.4,66066,571616
Bryansk region ,2015,1225.8,187525,352.0,112.83999999999999,4.6,271782.5,62255,627396
Bryansk region ,2016,1220.5,192668.0,214.39999999999998,104.66,4.6,316489.4,68194.604,733055
Bryansk region ,2017,1211.0,214707.0,272.5435943,102.74000000000001,4.4,341177.8,55120.865,794829
Bryansk region ,2018,1200.2,245437.0,325.9,107.06,3.9,367157.1,58918.301,841645
Bryansk region ,2019,1192.5,280968.0,388.20000000000005,98.38,3.8,399113.8,63553.036,1812903
Bryansk region ,2020,1182.7,291324.0,379.20000000000005,105.56,4.0,412335.5,73672.634,1855052
Bryansk region ,2021,1168.8,359289.0,414.8,113.02,3.4,405321.043809524,81337.259,1899020
Vladimir region ,2000,1558.0,36010.0,101.10000000000001,120.91999999999999,12,33017.7,4852.0,135800
Vladimir region ,2001,1539.2,46182.0,116.2,114.98,10.2,42075.4,6224.2065,142385
Vladimir region ,2002,1520.1,50844.0,147.5,112.84,10.4,50359.9,8849.880883527703,183274
Vladimir region ,2003,1509.6,64132.0,205.0,120.04,10.2,61818.6,10326.749099684333,221794
Vladimir region ,2004,1497.6,77206.0,188.10000000000002,113.2,9.1,74207,12491.10477727018,219687
Vladimir region ,2005,1486.5,94794.0,236.6,109.03999999999999,9,86926.8,17327.0,219803
Vladimir region ,2006,1475.9,115564.0,253.9,113.72,10.8,112841.7,22253.26200937366,254161
Vladimir region ,2007,1466.8,159705.0,463.1,117.32,6.7,146663.0,37775.4007348925,290393.0
Vladimir region ,2008,1457.9,179771.0,467.0,114.69999999999999,5.7,175395.7,45056.0,328569.0
Vladimir region ,2009,1449.8,163572.0,488.2,106.44,8.7,185824.6,51546.0,369170.0
Vladimir region ,2010,1441.1,213410.0,536.3,113.28,6.1,224759.2,50088.0,421136.0
Vladimir region ,2011,1431.9,250325.0,904.5,103.06,5.7,261222.6,59769.0,506112.0
Vladimir region ,2012,1421.7,275098.0,812.9,108.02000000000001,4.4,286018.6,61013.0,550984.0
Vladimir region ,2013,1413.3,304678.0,950.2,104.25999999999999,3.8,306641.4,65354.0,585987.0
Vladimir region ,2014,1405.6,349771,980.9,111.32,4.3,328064.2,73927,649970
Vladimir region ,2015,1397.2,412895,670.4,113.46,5.6,368489.2,71513,705136
Vladimir region ,2016,1389.6,451378.0,633.7,105.9,5.6,431549.8,70716.655,787525
Vladimir region ,2017,1378.3,453783.0,670.3945616000001,104.1,4.8,449849.2,78526.948,842074
Vladimir region ,2018,1365.8,500985.0,843.8,101.53999999999999,4.7,480027.8,73502.023,921603
Vladimir region ,2019,1358.4,546654.0,642.3,106.34,4.0,535493.4,90060.479,2000453
Vladimir region ,2020,1342.1,598052.0,718.3,106.02,5.6,554204.3,95285.935,1993876
Vladimir region ,2021,1323.7,807313.0,1137.7,113.28,3.9,547338.431428571,103846.331,2131382
Voronezh region ,2000,2422.4,33131.0,182.39999999999998,127.62,10.1,49523.9,8262.0,235504
Voronezh region ,2001,2397.1,41624.0,224.2,114.88000000000001,9.6,60014.6,10408.673,266997
Voronezh region ,2002,2374.4,54374.0,196.0,114.08,8.9,83001.1,15963.809081733238,313132
Voronezh region ,2003,2367.4,66563.0,309.8,113.62,8.3,100143.3,19755.808671824037,375790
Voronezh region ,2004,2364.9,76631.0,417.8,113.76,8.7,117197.6,21845.46611180888,395404
Voronezh region ,2005,2360.9,94013.0,620.5999999999999,108.32,7.6,133586.6,28652.0,428766
