region,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Andaman & Nicobar Islands,236.1,222.4,503.2,579.5,318.1,994.3,1004.8,1291.1,225.9,217.0,197.8,202.9,107.8,864.9,7696,7304,6655,5870,5586,7780,3960,3906,3256,3185,2309,1904,1536,2142,1511,1378
Andhra Pradesh,157790.8,171354.0,199656.3,222443.3,249641.7,243653.6,250063.5,316836.0,258050.6,271203.7,263378.8,300724.8,320618.6,342160.9,3526698,3932393,5108918,6425102,7439952,13028052,16010879,25393903,13081848,14862643,14824439,16820478,18632079,18444500,18875049,20654656
Assam,10320.9,13344.6,15994.5,15190.5,19368.7,27017.0,21059.8,42548.2,22671.9,24761.8,55499.8,36040.2,59641.2,66955.9,702998,752035,801962,891081,940427,980140,1074713,1515746,1310951,1444632,1616940,3204850,2802255,2733666,3063797,3185207
Bihar,69376.1,81584.2,92868.8,114582.1,145470.5,160221.0,170618.6,143262.1,12349.3,14164.8,15326.2,18891.9,31704.9,30328.0,296767,292352,295118,301470,303254,445230,526212,754715,646737,803738,994456,991766,1804252,1997672,2353563,1501129
Chandigarh,454.4,472.8,563.9,545.0,1122.8,1415.5,2413.5,2682.4,2232.2,2569.3,2476.4,2774.2,2800.5,3118.8,38533,37716,55815,51643,69003,59476,86573,119032,85345,177381,82623,109787,129447,103779,98553,96626
Chhattisgarh,.,.,.,.,.,.,.,.,63712.8,89641.4,66015.0,118797.0,72855.1,84848.5,1227351,1579146,2061575,2294829,2818914,3372131,3474615,5063239,6030773,6408052,7793471,8601196,12513740,11276704,11523679,11466364
Dadra & Nagar Haveli,1158.3,1492.6,1879.4,2713.7,4501.8,4731.6,15389.9,21428.7,27049.4,29005.1,53108.7,44624.0,40370.9,47636.6,631911,646472,794040,899735,1307315,1721733,1870906,2106676,1969476,3410225,2386629,2231244,3003602,3016960,3102487,2958793
Delhi,8788.1,8492.4,9375.8,-,34479.8,34336.7,21824.6,23254.4,18816.7,20295.5,22131.5,22475.0,24919.3,21050.6,235621,262096,291392,292626,312873,386652,446921,887343,1060650,572580,713774,634222,602994,641472,735863,688888
Daman & Diu,270.2,659.0,652.1,1768.1,4418.4,4969.8,7050.4,8475.5,16505.9,15891.9,18064.1,20451.3,29957.4,24223.8,244536,392960,376663,430938,476728,624331,646109,729488,922625,1027888,949099,1177391,1197057,1149170,1135121,1239408
Goa,2405.6,3364.9,3607.8,5703.6,5346.9,7670.9,11451.3,16045.9,19245.7,25029.6,27805.9,30300.1,34242.0,37388.4,415697,392137,409597,450019,526496,656422,622109,860627,827836,793409,887143,936353,996946,1055445,1135862,1333049
Gujarat,130986.8,134300.7,194309.0,239566.8,279124.7,567084.5,506558.7,642277.2,694765.5,666012.7,720883.5,870785.5,823580.1,857885.8,8711140,11953996,13162362,14540034,17236698,24038135,27196584,31274639,32612528,38265385,43770158,53029669,63304138,67266206,70945687,74856033
Haryana,36583.5,42006.2,47745.2,60063.9,67543.2,84334.7,99997.8,107164.7,111228.5,131670.5,139802.8,143767.1,141088.6,151341.3,1662464,1852399,2237053,2886838,3706457,4022443,5151447,5385588,7839623,7065108,8794812,10189610,11632485,11801700,13997025,14227981
Himachal Pradesh,11182.1,12898.0,15218.9,18615.2,22380.3,27947.6,36387.4,33759.8,28733.1,32100.1,34058.1,41135.8,35827.8,57138.3,594781,829821,828197,2000292,2189156,2671378,3444081,4449031,4009160,4769133,4875483,5425858,4304421,4534824,4481462,4699152
Jammu and Kashmir,664.1,807.1,906.7,891.0,1175.9,1667.0,1848.2,13552.5,2453.6,2930.7,3386.0,3640.1,3786.3,3818.9,78445,116996,163314,247275,243669,286090,345805,440142,524823,517712,577918,686174,1003913,920266,867609,832888
Jharkhand,.,.,.,.,.,.,.,.,154273.6,137758.4,159384.2,159639.1,157686.5,162776.5,1620522,1879988,2063749,2239894,3057109,3459811,6364140,6742579,6728469,7134878,7566533,7443105,10328969,10547093,10212081,9892803
