region,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-8,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A & N Islands,19027,21277,23558,50869,61282,67497,78683,89689,84934,93857,98875,108169,122774,139237,181264,204420,253839,298977,347985,411965,434314,397843,442118,502263,547722,603173,683587,789041,900318,976500,NA,NA
Andhra Pradesh,3462195,4175082,4418353,5786664,6892337,7985358,9014743,9578227,11493710,12879712,14472302,15671069,16709609,19001651,13476688,14760642,17406428,21236071,23738349,27332661,31986394,37940203,41140371,46427201,52497564,60422862,68441587,78613542,87372111,96609905,101437379,120173552
Arunachal Pradesh,50769,62906,74074,89311,96965,118440,121229,133652,151516,161177,178747,210412,207120,236772,348751,375515,410799,481000,568732,747445,902144,1106269,1254662,1458107,1795941,1850916,1990212,2247478,2533487,3003397,3127309,NA
Assam,1062066,1184809,1304772,1514317,1755100,1941137,2101680,2280602,2555791,3483319,3681416,3831308,4340700,4730460,5339771,5938458,6469221,7107619,8107367,9597457,11268796,14317491,15686424,17774522,19572315,22795883,25438236,28316489,30933632,34685068,34017745,NA
Bihar,2642878,2951880,3191425,2281198,2594481,2448347,3254084,3366154,3903319,5017376,5724208,5765670,6496547,6617388,7778116,8249020,10073714,11367995,14227912,16292294,20355499,24714396,28236793,31710134,34295094,37160179,42105150,46874631,52797582,58251645,58715439,67544803
Chandigarh,-,-,-,146785,175164,212102,254592,292715,342752,414115,479375,549004,645260,741861,850404,1018549,1227608,1366851,1533383,1757657,2001388,1876816,2160856,2482172,2654856,2927507,3242666,3634435,4013887,4310079,3971409,NA
Chhattisgarh,-,-,-,1417075,1556172,1717720,1940416,2165765,2406091,2724873,2584616,2953935,3249265,3880209,4786229,5338110,6687489,8025511,9697218,9936426,11941976,15807382,17751133,20683318,22111811,22516299,26280175,28228344,31810113,34495535,35026983,NA
Delhi,1132827,1488680,1700381,2099179,2584650,2839006,3380337,4123480,4748416,5522016,6012500,6502746,7136117,7946801,10032452,11537425,13558365,15794718,18953312,21761858,25275279,34379750,39138764,44395989,49480302,55080370,61608506,67790004,73838943,79403005,78534162,92396657
Goa,125736,155128,187246,239668,283793,331919,396493,492149,607506,632975,675714,709726,809961,930135,1271331,1432661,1652284,1956496,2541383,2912554,3360536,4236666,3812002,3592110,4781418,5505385,6297631,6935205,7185334,7503209,7570540,NA
Gujarat,2799606,3063170,4031578,4919429,6351578,7188561,8583736,9118760,10530452,10986100,11113900,12357300,14153400,16808000,20337300,24473600,28369300,32928500,36791200,43126200,52151888,61560607,72449536,80762319,92177315,102900974,116715558,132909477,149215571,161714320,163678141,NA
