region,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Andaman & Nicobar Islands,537.4,646.7,610.0,763.0,966.3,1679.7,1172.7,1588.3,867.4,660.2,357.2,224.6,118.8,800.5,6638,9400,10391,11886,15254,22669,16327,17966,16526,18397,18400,13822,13322,14328,4402,3871
Andhra Pradesh,166080.0,199363.5,251267.7,283754.5,376189.6,462791.1,444433.6,567523.0,491794.2,584939.8,613470.2,639195.2,822864.2,826083.7,10238450,11801646,15816396,18253326,21240271,23446174,34356018,39093376,20712819,26268382,25191880,23377645,26583434,31121259,37614334,40046283
Assam,28869.0,33748.4,37352.5,36828.9,43158.5,56694.7,59435.6,75129.0,80784.9,77759.2,87414.4,80227.6,125060.9,163062.3,2205002,2560914,3047619,3104360,3676790,3667156,4236700,5292766,4985210,5761714,6176083,5978808,6293606,6732646,8100540,7748672
Bihar,129545.4,144129.0,158462.4,195866.0,191692.8,220728.3,250536.7,289349.0,41898.9,66704.6,72548.8,67133.9,80767.9,88771.1,1222169,1678498,1904144,2187362,2953967,2825481,3605131,6016746,5168030,5529620,5875914,4773438,4769275,6002667,6841844,7617888
Chandigarh,4574.9,4867.2,5779.5,4985.1,8492.6,10174.6,9266.3,12615.4,13523.4,12040.9,9799.4,10604.3,11408.1,14237.4,197131,266882,363296,332643,352625,431337,580940,750210,605139,658424,458239,551486,588511,486470,442146,352387
Chhattisgarh,.,.,.,.,.,.,.,.,121185.0,129579.1,127430.6,125817.5,144970.7,204125.4,2780028,3009941,4445451,5795018,7640548,6778083,7954481,9301415,10352834,10599069,11977648,9731760,10866893,12560528,17133370,16540759
Dadra & Nagar Haveli,9033.1,10926.0,10596.3,13327.3,18063.6,23943.0,39356.6,64338.6,88270.7,135008.9,136648.7,174108.6,148889.8,223601.6,3743477,3340091,3327195,4186276,6496541,6457430,7291502,8900765,7597779,9596018,12889718,9015052,8845212,10831397,10368341,9184607
Delhi,56436.0,67827.2,73176.2,86398.4,121774.9,123141.5,132292.6,153229.3,146876.1,173459.1,142979.5,155644.4,172443.7,159659.8,1751199,2068207,2422968,2685813,2747594,3262630,4868702,4527272,5347872,5901429,6348457,6916261,6715380,4655142,5011126,4670423
Daman & Diu,982.0,2463.1,3221.0,7811.2,15536.4,22115.3,31840.9,34321.1,56322.4,86956.1,73045.8,104019.9,139189.1,136370.5,1515738,2635480,2762602,2879179,3031277,3202421,4038142,4218140,4458749,4110609,3472979,4750918,4464842,4364063,5024273,4419661
Goa,9097.6,14157.1,11291.6,19201.3,17825.5,25999.3,33319.8,43114.6,51242.0,69629.3,80893.1,83313.8,89573.9,116199.9,1542279,1542114,1883291,1887257,2752579,2943495,3249409,4210182,3659659,3379150,4654089,4973560,4401225,5044696,5224251,4591143
Gujarat,275927.1,307628.3,414294.1,469040.2,564692.6,848083.9,817634.3,1062042.8,1131907.8,1185511.6,1279772.8,1475501.0,1826997.9,2073342.6,26074860,30795504,37258066,44824316,50808787,64265756,80678350,99841317,111639522,123064181,127012504,115403988,122220075,135997115,161930548,162953192
Haryana,98972.5,107085.1,126865.2,154001.0,203436.4,273991.4,310526.6,325439.7,338653.6,444563.6,446750.4,455598.9,526174.1,619614.1,7571944,8579899,10244621,12488415,14433596,17710694,21526888,24395636,27807701,29640333,36748456,39535014,50038700,50333586,62391961,59630890
Himachal Pradesh,11171.3,13535.3,15236.6,19629.5,24512.9,31254.9,39199.8,44899.7,43121.0,52991.6,64815.5,60722.7,61189.9,87077.9,917408,1790771,2158438,3300801,4227948,5007103,7184348,8079659,9561121,9954730,12320881,11017801,10859355,11291885,11638767,11718159
Jammu and Kashmir,4517.2,5989.4,6516.5,7681.5,7257.8,10453.6,9217.6,12442.4,14173.4,16458.4,13427.2,15487.9,17563.1,19961.8,396342,699467,1157433,1623015,1349375,1322078,1902392,2242919,2460187,2337180,2406835,2571519,3034727,3288427,3233252,3006906
Jharkhand,.,.,.,.,.,.,.,.,230605.6,222746.4,192778.2,188446.8,247642.9,278130.1,3758194,4163373,4683114,6033835,5910751,6712897,9720666,10305316,10851206,10779440,12108719,11474938,12322755,14153289,16825465,13738059
Karnataka,124243.7,151736.4,175424.1,187618.1,244977.1,308451.4,372678.2,426907.8,461667.9,425045.1,462588.3,551348.1,656808.2,808007.3,10884648,13117752,16274620,18425766,22581276,23325405,28594965,33767314,39950881,44469973,46186619,43772310,50164690,52893789,57908052,55687658
Kerala,60815.4,80823.6,93557.5,88139.8,93499.3,155492.2,166859.3,199573.0,208908.8,248629.6,267105.5,239697.1,266508.5,318318.9,3611959,4326786,5057943,5556577,7090489,15545081,8205049,11158670,12179092,13105441,12866371,12269165,14318717,16356600,22076746,21484484
Madhya Pradesh,142160.9,154558.8,214429.8,245654.7,287830.2,418528.0,399261.9,442274.7,285855.8,440890.1,367123.4,382262.5,380575.0,427443.3,4696851,4954288,6434068,7872158,9040202,8693863,11589804,15658407,16392982,17208597,18252994,19342364,20467293,25723164,29291235,28925578
Maharashtra,614179.1,591298.6,780725.1,922332.3,1094282.8,1489374.7,1435306.4,1732989.4,1611597.5,1813325.2,1849714.7,1812228.1,2175955.1,2382933.2,35887957,37358862,47665711,51993933,60017352,62404918,78536268,100537793,102203201,106597134,111961821,116801652,107497036,119971795,133055982,123976857
Manipur,102.7,274.3,269.6,99.0,152.8,422.2,784.2,2139.7,140.3,128.4,177.4,189.6,204.2,181.1,3493,4424,2969,5825,6706,15224,27451,36324,34912,37752,37736,41026,36295,42083,46742,49845
Meghalaya,392.8,511.9,651.6,326.8,159.7,1066.2,1284.5,2243.5,452.8,688.4,1005.0,1601.2,2974.6,3773.7,56830,88409,129593,171468,192159,223506,287476,325326,349265,381377,431852,432106,395194,568899,713670,740369
Nagaland,260.0,562.3,494.3,642.9,701.4,1345.6,1528.8,3238.3,654.5,706.0,921.4,1036.3,1007.3,1037.8,10970,11634,11827,13606,12806,28850,46960,57932,58971,39707,44889,48642,51746,54104,57320,51901
Odisha,48701.9,66790.7,76632.1,83253.6,97008.4,121122.8,123591.9,149047.0,108325.5,118265.9,132426.7,134267.3,148623.5,185010.5,2329400,2797711,3664160,4801383,6953247,6566234,9214154,11541915,11369603,12237946,13117979,13711825,15109219,22997037,30238991,27670833
Puducherry,5671.1,8089.6,9846.6,10509.4,14677.8,16810.7,29500.4,38013.6,43411.7,53665.6,60080.1,65246.4,85073.4,88595.8,884599,1234246,1443482,1602722,1455756,1636966,1820839,2048180,1975300,2007285,1908970,2223648,2264375,3069202,3794303,2679769
Punjab,124810.0,138201.0,172347.8,192428.6,223408.5,269711.2,286824.7,320190.9,306713.6,381756.1,350184.9,380261.0,405707.8,439319.7,5304591,5943945,7749046,9616285,10551352,11754534,14866258,16293150,17103386,18210659,18992516,18552084,18921535,21210410,23063651,21356458
Rajasthan,84994.6,99373.2,121502.7,139185.4,179461.2,221377.5,235418.4,284861.5,238204.2,299599.6,307841.9,312274.2,331169.6,376355.5,4488205,5422077,6580310,7662696,9066470,10856432,15004752,19045480,19938133,21469179,22141508,24080027,27054565,29745019,33277014,32933342
Sikkim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,312037,445997,556220,631265,710303,802006,1021509,1677216,1836037,1910564,1967242
Tamil Nadu,276535.9,315929.5,379862.5,456344.7,603187.6,704291.2,741634.8,826118.6,766842.6,945977.7,1035398.9,943605.6,1080754.3,1299370.3,15950703,18998170,25700144,26543807,30080195,37578406,47212225,60963540,61952533,67695733,70038085,69900096,76552431,86380870,93953310,92735522
Telangana,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15614886,17133649,15975404,18852094,20381796,22240202,26867828,25493068
Tripura,472.3,361.0,700.0,764.1,688.9,1376.8,1397.6,3275.9,1387.3,1222.7,3106.1,2837.5,2508.0,3580.2,61569,53625,72268,76615,75598,101659,143076,122682,136302,131623,151764,135083,137953,155929,181849,172792
Uttar Pradesh,263678.0,287811.1,339259.1,401994.1,487017.6,570633.9,605262.9,718372.7,581199.0,610469.2,648541.8,670370.3,805206.3,934006.7,10913874,11886143,16587655,19381502,20046266,22568130,29221560,33265470,36132854,41126757,42309844,42813637,49552268,51463543,57905351,56269111
Uttarakhand,.,.,.,.,.,.,.,.,31811.7,31416.2,48844.1,52144.4,60355.9,72488.1,1007348,1558012,2161728,3306679,8292360,7932238,10583763,14474752,16627937,17725377,18984940,24939164,21013696,23618613,25569341,24068474
West Bengal,162873.5,183270.0,205765.0,228861.2,259217.0,314086.8,345629.2,418946.6,339308.3,348589.2,391826.8,439149.6,487324.3,522339.2,7242287,8137279,9834214,10946382,14179648,15704706,20611103,23320091,24718679,27637949,26380232,27093817,28823593,31912464,36533341,35753186
