region,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Andaman & Nicobar Islands,438.6,462.6,847.4,1073.7,1851.6,1809.3,1695.8,2000.7,657.0,577.6,361.5,288.6,187.5,904.9,8082,7920,7442,6746,6623,8745,5010,4967,4375,4468,3751,3270,2666,3449,2414,2258
Andhra Pradesh,203616.1,221442.5,258689.1,287345.5,334892.0,343968.0,346261.5,424973.8,355816.9,386899.0,391211.0,424705.8,463708.6,482070.5,5200094,5985776,7546449,9583545,10960697,17414928,22614430,32594218,16687679,19463961,19590584,21368799,23844352,23994086,25433421,27357821
Assam,15230.4,19465.4,23080.4,21844.9,27916.9,38054.9,31422.8,56353.7,32726.3,38550.4,73087.3,50432.5,79022.3,93207.9,1022608,1090976,1179526,1301965,1361928,1466773,1739924,2185871,1927084,2135656,2582876,3960000,3736145,3660320,3954367,4173065
Bihar,102278.6,123322.2,143155.1,161468.4,193698.8,214665.5,232717.6,206167.8,21944.3,27970.7,29203.3,35852.3,52182.5,51716.6,595656,529740,553310,563684,584884,755744,882184,1219662,1187284,1391746,1589660,1507847,2372084,2642616,3104131,2334141
Chandigarh,1184.3,1375.1,1478.0,1156.7,2395.7,3429.2,3946.7,4114.1,4256.3,4106.0,4043.5,4394.9,4540.0,5059.6,62152,66665,95077,93796,111002,102910,161831,181261,170997,277699,135804,173862,223392,162600,165329,163235
Chhattisgarh,.,.,.,.,.,.,.,.,94345.1,116309.6,90528.5,164647.4,95358.3,118967.4,1603833,2067035,2657060,3086215,3801782,4412078,4837395,6706859,7916990,8091611,9709592,10157306,14293149,13233410,14011199,14029038
Dadra & Nagar Haveli,2426.9,2733.7,3001.4,3847.9,7287.6,6769.6,22769.8,28058.6,36661.5,46841.4,73318.7,63896.8,58159.7,72333.9,1024089,985222,1232372,1379786,1975963,2581631,2943332,3318173,3106908,4755479,4240496,4041166,4206543,4033945,4232549,4183883
Delhi,17574.2,20669.2,22425.1,27175.6,55429.7,81857.6,45900.7,48434.8,39683.5,49604.5,42888.9,44282.8,54207.1,47903.0,529932,597001,645022,696688,740846,861638,1212665,1697212,1950018,1667085,1970368,1719030,1733603,1303627,1410431,1422142
Daman & Diu,422.6,986.1,1445.6,3005.6,6519.8,7995.4,11623.1,13501.7,24758.7,27766.5,29414.9,34997.8,49627.6,43534.8,467560,802572,822391,1099346,865770,1101919,1238602,1386506,1603496,1769285,1431914,1956807,1767329,1772332,1829607,1949111
Goa,4528.4,6011.4,5959.7,9333.9,8848.5,12612.4,18619.0,23940.7,27611.5,36056.2,40760.1,42747.5,49489.9,54979.9,622199,615388,667639,757597,949345,1321199,1172426,1500779,1339474,1319622,1518530,1509670,1605942,1840228,1987864,2075348
Gujarat,186958.6,196541.2,274031.5,333045.8,385776.0,716278.6,653295.5,834177.3,876192.7,858041.2,930014.1,1110600.1,1095615.3,1150272.1,12327519,16397187,18513245,20955836,24691131,34281035,39960561,45704837,48847310,54813239,60655894,68693337,81454084,86313999,92359463,96172342
Haryana,61060.3,66490.4,74693.1,88833.4,110232.7,137654.0,157028.1,163820.7,174498.2,214694.1,218735.8,215601.2,219263.0,241126.6,2649303,2987200,3703862,4785642,6133423,6472739,8663311,9231140,11770544,11247367,13590321,15146004,18035144,17973079,22023669,21511211
Himachal Pradesh,13077.0,15036.8,17705.0,21974.9,27191.3,34336.6,44392.9,43210.8,36718.7,41497.1,45766.4,51664.7,47137.3,69791.6,741391,1084540,1087592,2447573,2874252,3359874,4610301,5520247,5309958,6205555,6345052,6719373,5552878,5849113,5909035,6185551
Jammu and Kashmir,1456.7,1670.2,1855.0,2035.1,2565.2,3813.5,3448.2,15429.8,4767.7,5850.4,5638.3,6211.7,6628.1,6656.6,130430,192497,282050,404752,398911,466030,612914,747730,917700,1008947,906057,1013642,1391867,1361994,1307441,1220350
Jharkhand,.,.,.,.,.,.,.,.,199754.6,173947.9,203251.3,197958.3,193116.8,200281.8,2095792,2482824,2713167,2976122,3992048,4475090,8879975,8479558,8937014,9194872,10309552,9557431,12729831,12682788,12513881,12193479
Karnataka,78626.1,88580.9,112163.0,118293.1,156335.0,197166.8,239530.0,324831.0,455707.9,362756.9,356847.1,421432.3,445018.9,473776.2,5375766,6200736,7045334,8622398,11558732,12689020,15344622,18467251,20756478,23339966,23362206,23934186,25187858,26857251,29230865,31149746
Kerala,38090.9,46416.2,51487.5,55778.2,63288.7,91658.2,81270.1,114602.2,95765.3,99183.7,103778.2,109071.2,104599.6,111185.2,1261179,1465135,1485641,1707590,1928079,2241836,2695344,2864461,3361211,3864741,4365469,5446211,6258249,6169720,6913465,7612714
Madhya Pradesh,136524.5,133824.5,201891.5,214671.0,267770.7,337776.1,324578.2,300920.0,223026.3,236951.1,197334.1,188110.2,194712.5,204401.6,2445338,2676885,3150291,3643168,4036384,4531995,7053688,7987526,17702540,11447244,12360164,16484412,17976081,19274964,19639179,22947689
